LCSC#,MPN,Description,Quantity,MOQ,Extended Price($),Product Link
C49190454,3296W-1-104LF,"±10% ±150ppm/°C 500mW 100kΩ Through Hole-3P,9.5x4.9mm Slide Potentiometers RoHS",5,5,1.26,https://www.lcsc.com/product-detail/C49190454.html
C49190453,3296W-1-103LF,"±10% ±150ppm/°C 500mW 10kΩ Through Hole-3P,9.5x4.9mm Slide Potentiometers RoHS",5,5,1.26,https://www.lcsc.com/product-detail/C49190453.html
C173031,MFR-25FTE52-56K,"56kΩ 250mW Metal Film Resistor ±50ppm/°C ±1% Through Hole,D2.4xL6.3mm Through Hole Resistors RoHS",50,50,0.60,https://www.lcsc.com/product-detail/C173031.html
C173005,MFR-25FTE52-33K,"33kΩ 250mW Metal Film Resistor ±50ppm/°C ±1% Through Hole,D2.4xL6.3mm Through Hole Resistors RoHS",50,50,0.66,https://www.lcsc.com/product-detail/C173005.html
C58620,MFR0W4F1501A50,"1.5kΩ 250mW 250V Metal Film Resistor ±50ppm/°C ±1% Through Hole,D2.2xL6.5mm Through Hole Resistors RoHS",50,50,0.51,https://www.lcsc.com/product-detail/C58620.html
C19189959,MJE2955T,"Bipolar (BJT) Transistor PNP 100V 6A 3MHz 65W Through Hole TO-220",5,5,1.29,https://www.lcsc.com/product-detail/C19189959.html
C18723602,LM317T(XBLW),"40V Positive Adjustable 1.2V~37V TO-220 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators RoHS",5,5,0.82,https://www.lcsc.com/product-detail/C18723602.html
C4715806,10A0,"Diode 1000V R-6",5,5,0.28,https://www.lcsc.com/product-detail/C4715806.html
C119282,MFR-14W-10Ω-1% T,"10Ω 250mW 250V Metal Film Resistor ±100ppm/°C ±1% Through Hole,D2.3xL6.5mm Through Hole Resistors RoHS",50,50,0.55,https://www.lcsc.com/product-detail/C119282.html
C7463293,HX TS4540CJ 160gf 022,"Tactile Switch SPST 160gf 4mm 4.5mm x 4.5mm Through Hole",20,20,0.46,https://www.lcsc.com/product-detail/C7463293.html
